epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.2987,1.49861,3.73175,1.66824,0.00294,1,0.56963,0.36134,0.79298,3.93719,1.13497,0.00014,0.00014,0.00014
2,74.4117,1.3097,2.32737,1.32044,0.11312,0.93333,0.78199,0.44395,0.94383,3.34387,1.12744,0.00029406,0.00029406,0.00029406
3,109.781,1.21105,1.88185,1.24885,0.00294,1,0.879,0.53763,1.15736,3.29298,1.22776,0.000441784,0.000441784,0.000441784
4,144.538,1.20507,1.79243,1.23076,1,0.22944,0.85669,0.54625,1.1787,3.42113,1.17428,0.000583172,0.000583172,0.000583172
5,182.322,1.21272,1.75458,1.20947,1,0.19571,0.76617,0.55179,1.19212,3.56833,1.2022,0.000718224,0.000718224,0.000718224
6,218.335,1.2896,1.70105,1.2318,0.87445,0.13333,0.14439,0.07217,1.7397,4.83662,1.95425,0.00084694,0.00084694,0.00084694
7,253.67,1.24775,1.77748,1.2131,0.00294,1,0.1035,0.03648,2.20128,5.40177,2.63248,0.00096932,0.00096932,0.00096932
8,290.152,1.25536,1.77722,1.21388,0.7638,0.66667,0.66628,0.38705,1.34448,3.11497,1.27085,0.00108536,0.00108536,0.00108536
9,325.553,1.22889,1.44526,1.21598,0.61837,0.6,0.64399,0.46582,1.16369,2.8579,1.15649,0.00119507,0.00119507,0.00119507
10,360.998,1.23078,1.62059,1.20539,0.71333,0.332,0.41525,0.28296,1.42792,3.52039,1.32481,0.00129844,0.00129844,0.00129844
11,395.929,1.15478,1.36753,1.18621,0.60918,0.4,0.57554,0.33368,1.40625,3.31751,1.28822,0.00139548,0.00139548,0.00139548
12,436.832,1.09917,1.37756,1.17507,0.50489,0.33333,0.54586,0.29143,1.54107,3.51395,1.47698,0.00148618,0.00148618,0.00148618
13,475.449,1.11342,1.3103,1.19248,0.71008,0.73333,0.72957,0.39215,1.53859,2.81695,1.41149,0.0015248,0.0015248,0.0015248
14,512.194,1.15809,1.32531,1.16585,0.8797,0.6,0.70875,0.41085,1.69455,2.956,1.47142,0.0014852,0.0014852,0.0014852
15,549.437,1.13585,1.25275,1.18463,0.81268,0.57982,0.75144,0.41139,1.59293,2.47874,1.55211,0.0014456,0.0014456,0.0014456
16,588.974,1.10126,1.26033,1.18457,0.84489,0.72677,0.78591,0.42796,1.57893,2.45695,1.49241,0.001406,0.001406,0.001406
17,629.866,1.0948,1.2777,1.1359,0.99553,0.8,0.83831,0.57317,1.36126,1.95177,1.41185,0.0013664,0.0013664,0.0013664
18,667.272,1.00764,1.13343,1.15523,0.89154,0.73333,0.79613,0.5624,1.24148,1.92461,1.29935,0.0013268,0.0013268,0.0013268
19,704.736,1.01209,1.06197,1.13581,0.89199,0.6,0.77116,0.49353,1.28668,2.13961,1.28054,0.0012872,0.0012872,0.0012872
20,741.28,1.01766,1.06439,1.11876,1,0.63872,0.81198,0.5366,1.37444,2.32531,1.41007,0.0012476,0.0012476,0.0012476
21,778.167,1.0183,1.03036,1.15997,0.98379,0.53333,0.7349,0.50538,1.39441,2.12925,1.39726,0.001208,0.001208,0.001208
22,814.993,1.00859,1.03166,1.13601,0.99436,0.8,0.80055,0.55302,1.11892,1.77788,1.13171,0.0011684,0.0011684,0.0011684
23,851.818,0.98179,0.96502,1.10857,0.84651,0.8,0.82038,0.62598,1.12081,1.53266,1.16182,0.0011288,0.0011288,0.0011288
24,891.165,0.98403,0.98607,1.12961,0.79158,0.8,0.80466,0.60909,1.07585,1.44111,1.18539,0.0010892,0.0010892,0.0010892
25,931.824,0.95745,0.96781,1.12034,0.91577,0.72542,0.82834,0.57283,1.20827,1.47574,1.24806,0.0010496,0.0010496,0.0010496
26,979.715,0.93919,0.97337,1.13367,0.83094,0.6,0.6524,0.4638,1.35109,1.98778,1.37827,0.00101,0.00101,0.00101
27,1023.45,0.98585,0.9933,1.12484,0.9165,0.73333,0.75847,0.57872,1.16614,1.71986,1.24033,0.0009704,0.0009704,0.0009704
28,1062.36,0.96614,0.9276,1.10921,0.91616,0.86667,0.82894,0.59223,1.15319,1.48604,1.1903,0.0009308,0.0009308,0.0009308
29,1100.28,0.91259,0.85407,1.08192,0.91501,0.86667,0.83104,0.65336,0.99304,1.43385,1.16431,0.0008912,0.0008912,0.0008912
30,1139.52,0.86117,0.82826,1.05902,0.92285,0.79766,0.82054,0.61121,1.08402,1.41739,1.17483,0.0008516,0.0008516,0.0008516
31,1177.1,0.84462,0.79684,1.04795,0.9221,0.8,0.81591,0.60928,1.11683,1.4625,1.19257,0.000812,0.000812,0.000812
32,1214.5,0.88961,0.8061,1.08572,0.85641,0.86667,0.85383,0.61217,1.07499,1.30819,1.17929,0.0007724,0.0007724,0.0007724
33,1251.59,0.83924,0.816,1.03772,0.85878,0.86667,0.8407,0.58231,1.13199,1.30609,1.19591,0.0007328,0.0007328,0.0007328
34,1295.56,0.77693,0.78516,1.01257,0.86066,0.86667,0.83905,0.61088,1.0466,1.25948,1.18706,0.0006932,0.0006932,0.0006932
35,1336.23,0.79146,0.76485,1.0272,0.85638,0.86667,0.83884,0.60516,1.09227,1.25806,1.20754,0.0006536,0.0006536,0.0006536
36,1374.48,0.83069,0.7653,1.04704,0.85964,0.86667,0.83615,0.56529,1.1877,1.19825,1.28216,0.000614,0.000614,0.000614
37,1413.27,0.74475,0.75058,1.01609,0.8661,0.86272,0.84308,0.59287,1.19394,1.24211,1.36035,0.0005744,0.0005744,0.0005744
38,1451.98,0.74206,0.68579,0.9996,0.86586,0.86102,0.85463,0.58173,1.17605,1.27356,1.38933,0.0005348,0.0005348,0.0005348
39,1492.14,0.70163,0.69941,0.99387,0.91022,0.8,0.8655,0.5599,1.28494,1.31811,1.48188,0.0004952,0.0004952,0.0004952
40,1532.54,0.70004,0.64182,0.98088,0.85103,0.8,0.84934,0.55859,1.26877,1.28807,1.44266,0.0004556,0.0004556,0.0004556
41,1577.06,0.65081,0.77888,0.95267,0.85703,0.79929,0.82387,0.57187,1.22232,1.26279,1.37704,0.000416,0.000416,0.000416
42,1620.67,0.58136,0.68273,0.90126,0.91701,0.73687,0.83598,0.51539,1.39631,1.35709,1.43926,0.0003764,0.0003764,0.0003764
43,1660.86,0.58521,0.69365,0.91108,0.91835,0.75079,0.8458,0.55685,1.2751,1.38658,1.34574,0.0003368,0.0003368,0.0003368
44,1702.28,0.56709,0.69506,0.88591,0.92612,0.83688,0.85831,0.58405,1.17561,1.18472,1.26745,0.0002972,0.0002972,0.0002972
45,1741.59,0.55661,0.64081,0.87764,0.92778,0.8571,0.86541,0.58004,1.17019,1.12023,1.28492,0.0002576,0.0002576,0.0002576
46,1779.55,0.55285,0.61456,0.89637,0.92803,0.86009,0.88268,0.59761,1.1349,1.08584,1.2875,0.000218,0.000218,0.000218
47,1819.03,0.51438,0.59706,0.88443,0.92833,0.8638,0.88739,0.63673,1.07703,1.05775,1.27282,0.0001784,0.0001784,0.0001784
48,1858.05,0.5151,0.58919,0.87577,0.92832,0.86362,0.88525,0.64512,1.08278,1.05256,1.28788,0.0001388,0.0001388,0.0001388
49,1899.52,0.49267,0.59535,0.86999,0.92822,0.86239,0.89604,0.616,1.13973,1.06581,1.32962,9.92e-05,9.92e-05,9.92e-05
50,1944.73,0.51747,0.58023,0.87377,0.92818,0.86198,0.89729,0.615,1.13925,1.05611,1.33223,5.96e-05,5.96e-05,5.96e-05
